record_id,Tarih,Ýþ Emri No,Ýþ Merkezi No,Ýþmerkezi Adý,Ýþ Ýstasyon Adý,Stok Adý,Vardiya,A (Kullanýlýrlýk),P (Performans),Q (Kalite),OEE,Çalýþma Süresi,Duruþ Süresi,Planlý Duruþ Süresi,Plansýz Duruþ Süresi,Üretilen Miktar,Hatalý Üretilen Miktar
30,10/2/2025,3022453962,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,J72 Air Deflector,1,85.33,89.44,99.06,75.59,397.64,108.47,40.09,68.38,848,8
31,10/23/2025,3029196976,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,ICA-2-S-FR-Lower Bumper Unpainted,1,83.07,204799.79,99.5,169271.68,380.28,106.96,29.45,77.51,399,2
32,9/25/2025,3026294016,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,X590 Underbody Panel,3,84.62,103.11,98.3,85.77,455.75,94.31,11.49,82.82,704,12
33,9/7/2025,3025901239,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,P702 Hood Seal,2,99.3,94.28,-24.19,-22.65,209.75,18.53,17.06,1.47,62,77
34,9/16/2025,3027982241,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,P702 Cowl Grille,3,79.65,93.05,97.13,71.99,245.45,89.74,27.03,62.71,766,22
35,9/1/2025,3027853787,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,D544 Upper Trim,3,98.78,87.61,-223.53,-193.44,316.27,21.21,17.29,3.92,34,110
36,10/10/2025,3025842082,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,V363 BEV Base MIC Black Upper,2,0.0,0.0,0.0,0.0,379.72,140.53,56.56,83.97,0,0
37,10/5/2025,3021674975,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,J72 Splash Shield,3,0.0,0.0,0.0,0.0,368.94,120.82,10.89,109.93,0,0
38,10/29/2025,3022477398,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,,2,69.74,106.05,97.66,72.22,213.62,144.6,51.89,92.71,171,4
39,12/22/2025,3029132114,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,V710 BEV/PHEV MIC White Upper,3,92.55,96.73,99.75,89.3,356.57,38.22,9.5,28.72,816,2
40,10/31/2025,3025089126,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,U611 Sensor Bracket,1,72.47,107.9,99.23,77.6,291.24,141.11,30.49,110.62,912,7
41,9/20/2025,3028491822,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,J72 Splash Shield,2,75.12,109.72,-60.0,-49.45,276.41,114.17,22.63,91.54,50,80
42,9/20/2025,3029310235,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,U725 Front Bumper Lower,3,0.0,0.0,0.0,0.0,181.93,45.86,6.02,39.84,0,0
43,11/8/2025,3027375499,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,P702 Hood Seal,3,88.19,98.99,0.0,0.0,437.36,91.01,32.46,58.55,0,0
44,10/12/2025,3021941524,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,B920 Rocker Molding RH,2,91.23,101.18,99.49,91.84,304.9,54.02,24.72,29.3,392,2
45,10/30/2025,3025825658,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,ICA-2-S-FR-Lower Bumper Unpainted,1,88.14,136488.56,99.33,119493.4,308.1,76.72,35.25,41.47,599,4
46,11/12/2025,3021822825,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,X590 Underbody Panel,2,79.55,85.82,-54.55,-37.24,421.52,154.89,46.54,108.35,33,51
47,12/5/2025,3027970985,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,CX430 Skid Plate,1,79.51,95.06,99.52,75.22,408.09,127.13,21.95,105.18,626,3
48,11/26/2025,3027667458,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,B920 Rocker Molding RH,1,99.59,93.46,98.04,91.26,409.3,33.86,32.19,1.67,1070,21
49,12/15/2025,3028789116,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,P702 Hood Seal,2,97.52,111.86,99.58,108.63,213.84,7.67,2.23,5.44,238,1
50,12/16/2025,3029209880,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,L663 Wheel Arch RR,2,81.0,110.32,99.83,89.2,189.49,71.06,26.6,44.46,589,1
51,11/16/2025,3021358318,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,K131 Side Skirt LH,2,94.31,80.33,-143.33,-108.6,250.63,48.98,33.87,15.11,30,73
52,12/20/2025,3021432519,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,V710 BEV/PHEV MIC White Upper,2,93.48,83.92,97.92,76.82,409.1,47.98,19.43,28.55,385,8
53,12/20/2025,3029748499,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,J72 Air Deflector,3,98.44,91.65,98.6,88.96,459.57,36.04,28.74,7.3,1218,17
54,11/7/2025,3025947563,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,U611 Tow Hook Cover,3,76.2,100.26,98.45,75.22,304.76,102.03,6.86,95.17,966,15
55,9/20/2025,3028956894,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,V363 BEV Base GOR SUBASSY,1,94.7,105.6,98.32,98.32,207.04,55.92,44.33,11.59,476,8
56,10/16/2025,3022738129,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,ICA-2-S-FR-Lower Bumper Unpainted,1,79.54,151902.01,99.81,120581.95,224.87,108.7,50.84,57.86,517,1
57,10/5/2025,3026183902,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,B920 Rocker Molding RH,1,0.0,0.0,0.0,0.0,232.61,56.63,39.44,17.19,0,0
58,12/6/2025,3021834876,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,P703 Fender Liner FR,2,86.45,87.29,99.72,75.25,371.96,84.8,26.52,58.28,1055,3
59,9/28/2025,3023302417,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,P703 Fender Liner RR,2,78.25,82.39,99.38,64.07,214.8,85.53,25.84,59.69,480,3
60,10/22/2025,3028007741,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,V363 BEV Base MIC Black Upper,2,0.0,0.0,0.0,0.0,186.05,87.05,48.08,38.97,0,0
61,9/15/2025,3029902071,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,CX430 Skid Plate,2,0.0,0.0,0.0,0.0,166.28,153.72,38.73,114.99,0,0
62,11/19/2025,3026422534,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,U725 Front Bumper Lower,2,79.02,87.34,98.95,68.29,199.8,71.23,18.17,53.06,190,2
63,11/10/2025,3021688246,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,K131 Side Skirt LH,3,90.54,83.13,99.72,75.05,369.03,67.12,28.54,38.58,356,1
64,10/18/2025,3025746166,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,L663 Wheel Arch RR,2,98.36,89.38,98.43,86.53,376.88,44.13,37.85,6.28,636,10
65,11/23/2025,3027575963,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,P702 Cowl Grille,3,92.41,104.92,98.01,95.02,452.02,59.75,22.6,37.15,1354,27
66,12/8/2025,3029158272,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,CX430 Lower Grille,1,86.37,95.26,97.83,80.49,224.93,82.79,47.29,35.5,507,11
67,12/2/2025,3028342941,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,L663 Wheel Arch RR,2,92.96,87.69,98.68,80.44,376.15,55.15,26.65,28.5,1061,14
68,10/19/2025,3029437374,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,ICA-2-S-FR-Lower Bumper Unpainted,1,81.26,296524.62,97.44,234786.77,416.9,104.45,8.3,96.15,1055,27
69,10/28/2025,3026865064,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,L663 Wheel Arch RR,1,0.0,0.0,0.0,0.0,294.97,68.05,23.17,44.88,0,0
70,12/25/2025,3022329187,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,P703 Fender Liner FR,1,86.5,95.94,99.14,82.28,422.14,134.26,43.63,65.86,464,4
71,9/19/2025,3025886733,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,V710 BEV/PHEV MIC White Upper,3,80.48,100.72,99.04,80.28,282.32,79.72,11.24,68.48,624,6
72,10/16/2025,3022133461,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,CX430 Lower Grille,3,96.75,103.73,99.07,99.42,370.56,47.35,34.91,12.44,429,4
73,9/5/2025,3025923149,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,V710 BEV/PHEV MIC White Lower,1,0.0,0.0,0.0,0.0,436.88,56.47,18.6,37.87,0,0
74,10/20/2025,3026688090,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,J72 Splash Shield,3,74.51,105.24,99.78,78.24,324.28,142.08,31.16,110.92,896,2
75,10/15/2025,3028501590,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,X590 Underbody Panel,2,87.29,104.91,98.25,89.97,358.31,90.56,38.37,52.19,342,6
76,11/22/2025,3027145971,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,L663 Wheel Arch FR,3,0.0,0.0,0.0,0.0,189.39,45.41,27.0,18.41,0,0
77,11/30/2025,3028487220,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,P702 Cowl Grille,2,76.08,82.61,99.74,62.69,381.25,131.85,12.01,119.84,381,1
78,9/21/2025,3023920762,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,U611 Tow Hook Cover,1,89.92,104.87,98.4,92.79,215.2,32.45,8.33,24.12,187,3
79,12/15/2025,3022237331,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,B920 Rocker Molding LH,3,78.28,82.36,98.37,63.42,201.51,86.94,31.04,55.9,612,10
80,9/29/2025,3026805303,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,ICA-2-S-FR-Lower Bumper Unpainted,1,76.83,329737.62,98.53,249605.76,252.68,109.26,33.05,76.21,408,6
81,11/22/2025,3025440189,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,X590 Diffuser,3,79.69,99.32,97.26,76.98,300.81,106.56,29.88,76.68,475,13
82,10/11/2025,3026357240,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,L663 Wheel Arch FR,1,0.0,0.0,0.0,0.0,192.35,68.17,6.37,61.8,0,0
83,11/5/2025,3028831858,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,P703 Fender Liner RR,2,0.0,0.0,0.0,0.0,186.72,143.76,30.33,113.43,0,0
84,10/17/2025,3021759041,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,V710 BEV/PHEV MIC White Lower,3,88.74,91.14,98.41,79.59,342.93,60.82,17.32,43.5,691,11
85,11/17/2025,3029541658,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,U611 Tow Hook Cover,1,92.16,94.11,98.21,85.18,193.14,36.42,19.98,16.44,392,7
86,11/30/2025,3026029651,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,,1,78.01,97.85,97.87,74.7,286.82,139.65,58.79,80.86,846,18
87,11/20/2025,3027378535,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,K131 Side Skirt RH,3,78.46,84.49,98.8,65.49,250.24,110.74,42.03,68.71,498,6
88,11/24/2025,3029025733,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,L663 Wheel Arch FR,2,89.24,96.57,97.42,83.95,457.44,87.15,31.99,55.16,1200,31
89,11/28/2025,3029204110,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,J72 Splash Shield,2,75.34,87.78,98.38,65.06,342.54,155.44,43.3,112.14,804,13
90,12/5/2025,3029037616,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,CX430 Skid Plate,3,0.0,0.0,0.0,0.0,258.63,83.74,16.3,67.44,0,0
91,9/21/2025,3027826774,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,J72 Splash Shield,3,67.28,99.96,99.74,67.08,237.84,134.94,19.27,115.67,773,2
92,10/21/2025,3029311162,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,X590 Underbody Panel,2,99.75,81.65,99.2,80.79,434.26,35.19,34.08,1.11,1499,12
93,10/3/2025,3024123902,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,X590 Underbody Panel,2,85.73,83.97,97.33,70.06,409.32,113.57,45.44,68.13,1273,34
94,12/6/2025,3025479421,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,P703 Fender Liner RR,3,99.65,101.55,99.73,100.93,389.64,40.59,39.22,1.37,377,1
95,9/29/2025,3023240912,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,U725 Front Bumper Lower,2,84.52,96.67,98.42,80.41,396.84,97.64,24.95,72.69,821,13
96,9/8/2025,3029480665,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,MCA-2-S-FR-Lower Bumper Unpainted,3,0.0,0.0,0.0,0.0,223.46,70.59,31.22,39.37,0,0
97,12/14/2025,3021050591,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,,1,82.37,111.8,99.84,91.94,193.13,45.17,3.83,41.34,641,1
98,12/21/2025,3027333337,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,V363 BEV Base GOR SUBASSY,3,81.41,107.25,97.08,84.76,459.6,112.93,7.98,104.95,514,15
99,9/30/2025,3025152562,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,B920 Rocker Molding RH,1,69.8,81.84,98.84,56.46,259.94,155.99,43.5,112.49,776,9
100,10/22/2025,3028364573,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,U611 Sensor Bracket,1,81.07,111.78,97.37,88.24,398.77,101.54,8.41,93.13,571,15
101,11/11/2025,3023938247,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,U611 Sensor Bracket,2,82.41,90.96,98.14,73.56,193.6,79.93,38.6,41.33,429,8
102,10/23/2025,3027987842,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,,1,90.53,80.69,98.98,72.31,292.64,50.42,19.82,30.6,589,6
103,9/27/2025,3026586214,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,V710 BEV/PHEV MIC White Upper,1,79.65,111.99,99.37,88.63,451.78,122.49,7.04,115.45,945,6
104,11/3/2025,3028818250,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,K131 Side Skirt LH,3,75.83,90.6,-15.79,-10.85,316.15,155.63,54.86,100.77,19,22
105,11/23/2025,3026663388,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,X590 Diffuser,2,85.67,83.72,99.56,71.4,460.29,106.44,29.44,77.0,1356,6
106,12/7/2025,3021107102,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,U725 Front Bumper Lower,3,74.44,95.19,98.21,69.59,247.12,85.41,0.55,84.86,446,8
107,9/3/2025,3029425786,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,K131 Side Skirt LH,1,94.81,84.53,0.0,0.0,211.03,20.49,8.93,11.56,0,0
108,12/19/2025,3021531577,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,L663 Wheel Arch FR,2,83.52,101.9,97.64,83.09,289.38,95.32,38.2,57.12,296,7
109,10/5/2025,3021781180,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,D544 Lower Valance,2,86.7,109.58,97.25,92.39,440.8,69.59,1.97,67.62,726,20
110,10/13/2025,3027439870,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,K131 Side Skirt LH,3,86.65,79.83,97.54,67.46,390.01,118.56,58.46,60.1,772,19
111,10/19/2025,3028245206,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,D544 Lower Valance,3,0.0,0.0,0.0,0.0,371.59,47.4,37.12,10.28,0,0
112,9/24/2025,3028230636,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,,3,96.36,96.84,97.73,91.2,328.61,17.78,5.38,12.4,792,18
113,9/22/2025,3023329349,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,P703 Fender Liner RR,2,97.7,92.32,-200.0,-180.4,323.01,33.67,26.08,7.59,32,96
114,10/13/2025,3028224541,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,U725 Front Bumper Lower,2,70.6,88.68,0.0,0.0,272.99,125.72,12.05,113.67,0,0
115,11/9/2025,3024018677,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,ICA-2-S-FR-Lower Bumper Unpainted,3,78.69,176258.22,97.61,135387.04,313.87,111.31,26.31,85.0,838,20
116,11/4/2025,3028017921,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,ICA-2-S-FR-Lower Bumper Unpainted,2,79.73,215599.23,99.29,170673.24,383.47,133.11,35.63,97.48,420,3
117,12/5/2025,3029703982,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,ICA-2-S-FR-Lower Bumper Unpainted,3,86.64,39278.63,98.55,33536.97,346.82,76.96,23.47,53.49,828,12
118,10/31/2025,3022637842,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,X590 Underbody Panel,3,0.0,0.0,0.0,0.0,311.21,10.74,2.68,8.06,0,0
119,9/24/2025,3028250013,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,V710 BEV/PHEV MIC White Upper,3,93.8,91.22,99.48,85.12,358.09,59.21,35.53,23.68,967,5
120,11/7/2025,3026258048,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,L663 Wheel Arch FR,3,95.54,93.57,98.11,87.71,293.84,34.83,21.12,13.71,371,7
121,11/13/2025,3027437584,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,U725 Rear Bumper Cover,2,0.0,0.0,0.0,0.0,364.3,121.93,38.72,83.21,0,0
122,11/27/2025,3029249791,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,D544 Upper Trim,2,97.01,103.88,99.22,99.98,321.72,11.77,1.85,9.92,511,4
123,10/17/2025,3021698108,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,U611 Sensor Bracket,1,97.44,103.55,97.06,97.93,467.03,62.09,49.8,12.29,749,22
124,11/30/2025,3028183451,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,P702 Cowl Grille,1,0.0,0.0,0.0,0.0,407.61,145.95,48.33,97.62,0,0
125,9/8/2025,3025652716,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,D544 Upper Trim,1,74.73,103.89,98.64,76.58,252.41,135.08,49.71,85.37,662,9
126,10/18/2025,3028628527,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,B920 Rocker Molding LH,3,66.05,102.85,98.1,66.64,180.72,136.86,43.96,92.9,368,7
127,11/12/2025,3029142618,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,D544 Lower Valance,1,72.01,78.55,99.53,56.3,193.32,125.34,50.2,75.14,639,3
128,10/17/2025,3025200835,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,B920 Rocker Molding RH,,95.7,88.39,99.33,84.02,442.1,43.64,23.78,19.86,1188,8
129,12/20/2025,3028085252,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,J72 Splash Shield,1,95.83,81.51,99.32,77.58,246.39,59.08,48.36,10.72,441,3
130,9/28/2025,3023539636,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,P702 Cowl Grille,3,92.2,82.76,97.99,74.78,308.29,79.87,53.8,26.07,349,7
131,9/4/2025,3026060836,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,U611 Tow Hook Cover,3,78.51,79.86,97.16,60.91,327.76,107.47,17.73,89.74,1056,30
132,11/12/2025,3028060918,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,U611 Sensor Bracket,3,80.28,80.48,-637.5,-411.9,230.1,115.76,59.24,56.52,8,59
133,10/10/2025,3022325761,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,CX430 Skid Plate,1,87.74,106.37,99.89,93.23,335.55,84.95,38.06,46.89,885,1
